time,latitude,longitude,depth,mag
2016-07-18T08:59:43.390Z,-30.3561,-71.8616,35,5
2016-07-18T02:58:50.040Z,-30.7537,-71.7935,23.97,5.2
2016-07-18T01:13:14.520Z,-30.8154,-71.5824,24.22,4.5
2016-07-14T06:48:59.780Z,-31.7306,-71.4545,43.45,4.3
2016-07-13T14:41:56.970Z,-30.6202,-71.284,42.31,4.2
2016-07-11T16:15:58.560Z,-29.8653,-72.1306,7.65,4.7
2016-07-11T13:27:36.620Z,-30.6879,-71.4136,48.82,4.9
2016-07-07T21:54:06.000Z,-30.5704,-71.5705,41.03,4.1
2016-07-06T23:56:28.540Z,-30.3666,-71.5699,35.17,4.5
2016-07-05T09:53:07.030Z,-30.4051,-71.7752,26.31,4
2016-07-04T00:13:03.830Z,-31.4434,-71.5559,44.03,4.6
2016-07-01T22:20:08.090Z,-30.8029,-71.4833,38.19,4.6
2016-06-29T03:54:21.610Z,-30.1243,-72.0619,12.13,4.4
2016-06-28T23:07:29.330Z,-30.361,-71.692,29.47,4.8
2016-06-28T11:18:51.470Z,-31.6801,-72.2192,22.34,4.3
2016-06-28T10:37:36.350Z,-31.7328,-72.2292,10,4.1
2016-06-27T12:51:13.180Z,-31.7806,-71.4198,45.67,5
2016-06-26T22:52:16.570Z,-30.5862,-71.6757,24.91,4.2
2016-06-25T10:47:31.890Z,-31.7063,-72.215,10,4.3
2016-06-25T00:47:28.510Z,-31.5343,-71.5511,40.2,4.4
2016-06-22T09:58:38.300Z,-31.2096,-72.2674,15.45,4.1
2016-06-22T03:54:40.610Z,-30.6352,-71.6921,26.01,5.1
2016-06-22T03:54:32.160Z,-30.5947,-71.7239,22.65,4.4
2016-06-20T11:08:10.850Z,-31.5664,-72.019,19.65,4
2016-06-20T01:31:21.130Z,-30.2206,-72.0643,10,4.2
2016-06-19T20:55:03.800Z,-30.9997,-71.8308,35,4.1
2016-06-19T00:01:07.000Z,-30.46,-71.643,25,4.1
2016-06-17T06:38:25.680Z,-30.661,-71.7577,30,4.8
2016-06-17T03:48:38.690Z,-30.0617,-71.5824,33.79,4.5
2016-06-16T01:14:45.440Z,-30.6707,-71.3203,58.41,4.7
2016-06-14T23:05:19.690Z,-32.273,-72.0251,10,3.9
2016-06-14T11:43:24.300Z,-30.1495,-71.6555,34.13,4.3
2016-06-11T13:44:59.130Z,-30.2466,-71.6035,35,4.3
2016-06-08T19:12:46.290Z,-30.0208,-72.0311,8.1,4.3
2016-06-08T11:37:19.180Z,-30.1008,-71.5626,26.67,3.8
2016-06-08T10:53:30.060Z,-31.5449,-71.7786,14.49,4.2
2016-06-07T07:06:46.440Z,-31.047,-71.9128,19.53,3.9
2016-06-06T13:21:59.190Z,-30.069,-71.5238,29.5,5.4
2016-06-06T13:16:02.220Z,-30.0433,-71.4636,28.31,5.5
2016-06-06T06:53:10.980Z,-31.9965,-71.636,34.95,4.3
2016-06-05T09:30:52.680Z,-29.2922,-72.0074,35,4
2016-06-05T05:51:11.550Z,-29.3424,-71.8594,28,5.8
2016-06-04T22:19:05.490Z,-31.5964,-71.5236,45.18,4.3
2016-06-03T20:47:12.000Z,-31.466,-71.72,25.1,4
2016-06-03T00:16:15.400Z,-30.0499,-71.6387,38.94,3.9
2016-06-01T21:47:56.030Z,-30.1057,-72.2256,10,4.1
2016-05-30T12:41:55.940Z,-31.6518,-71.4394,56,4.7
2016-05-30T05:59:01.090Z,-32.2672,-71.8,25.9,4
2016-05-29T23:17:51.090Z,-31.7586,-72.295,35,4.4
2016-05-27T17:48:34.470Z,-31.092,-71.6953,26.01,4
2016-05-26T20:36:50.530Z,-29.943,-71.8753,17,4.8
2016-05-23T12:39:35.970Z,-32.0722,-71.9,10.54,4.4
2016-05-22T11:47:09.110Z,-30.6111,-71.6884,25.77,5.1
2016-05-20T15:00:59.000Z,-31.83,-72.3,30,4.2
2016-05-20T08:29:43.850Z,-31.8308,-72.1706,10,4.3
2016-05-19T19:25:52.040Z,-31.8385,-72.1155,10,4.4
2016-05-19T18:28:33.970Z,-30.712,-71.4365,45.6,4.6
2016-05-19T04:32:44.990Z,-32.942,-69.015,35.62,3.4
2016-05-18T21:04:13.260Z,-30.6136,-71.8031,28.76,4.2
2016-05-17T07:11:30.580Z,-31.2962,-71.8318,19.47,4.4
2016-05-12T18:03:50.610Z,-30.5813,-71.7987,26.64,4.3
2016-05-11T22:41:55.350Z,-29.8611,-71.4947,44.65,4.1
2016-05-11T13:11:34.020Z,-30.663,-71.7475,24.68,5.4
2016-05-10T00:16:06.970Z,-32.3235,-71.7497,56.25,4.2
2016-05-09T11:18:20.000Z,-32.583,-71.847,24,4.2
2016-05-08T10:33:12.250Z,-32.7579,-71.4873,32.7,4.4
2016-05-07T12:39:49.620Z,-30.2834,-71.9945,23.37,4.4
2016-05-06T16:15:42.000Z,-30.44,-71.26,31,3.9
2016-05-06T08:51:32.870Z,-30.4138,-71.4019,49.54,4.4
2016-05-02T02:03:31.180Z,-32.7551,-69.1335,32.71,4.4
2016-05-01T08:55:52.430Z,-30.3253,-72.1544,10,4.2
2016-05-01T04:24:26.210Z,-30.2815,-72.2059,10,4.2
2016-05-01T01:15:43.000Z,-32.5969,-71.826,18.65,3.6
2016-04-30T10:31:57.880Z,-30.0668,-72.6608,10,4.2
2016-04-30T06:36:25.340Z,-30.0378,-72.6926,10,4.5
2016-04-30T02:49:06.790Z,-29.7636,-72.0392,10,4.8
2016-04-28T08:40:15.980Z,-31.844,-72.0319,16.52,4.1
2016-04-28T00:56:05.660Z,-32.293,-71.8885,22.3,3.9
2016-04-26T10:54:19.840Z,-31.7638,-72.0773,10,3.9
2016-04-25T22:20:49.210Z,-30.9416,-71.7672,23.02,4.6
2016-04-25T15:35:47.950Z,-32.1655,-71.9635,14.03,4.3
2016-04-25T14:01:46.490Z,-32.1461,-71.9091,22.32,4.6
2016-04-20T00:46:43.070Z,-30.4109,-71.704,23.39,3.7
2016-04-19T16:37:19.490Z,-30.6799,-71.818,25,4.5
2016-04-18T14:54:55.000Z,-32.602,-71.37,45.7,3.7
2016-04-18T11:38:38.680Z,-31.7266,-71.2874,42.04,5.2
2016-04-18T07:01:14.460Z,-32.4499,-71.4834,27.51,4.3
2016-04-18T04:25:59.510Z,-29.5172,-71.0155,39.74,4.5
2016-04-17T19:24:42.400Z,-31.4575,-71.8838,35,4.2
2016-04-17T14:59:45.190Z,-30.7527,-71.4614,40.03,4.9
2016-04-17T13:09:47.000Z,-30.33,-71.624,24.7,3.7
2016-04-15T04:27:56.470Z,-32.1568,-71.8144,19.99,4.8
2016-04-14T17:44:55.370Z,-32.1303,-71.7922,18.09,4.6
2016-04-12T22:16:26.260Z,-29.8591,-72.1168,11.52,4.2
2016-04-10T18:10:57.240Z,-31.4915,-71.7921,35,4.6
2016-04-10T13:09:47.200Z,-31.0384,-72.1033,10,4.3
2016-04-10T01:45:09.060Z,-30.7166,-71.5161,43.29,3.9
2016-04-09T17:30:03.000Z,-30.656,-71.757,33.3,3.8
2016-04-09T05:49:16.000Z,-30.2576,-71.663,29.82,4.1
2016-04-06T17:35:38.680Z,-31.4832,-71.7832,29.74,5.3
2016-04-04T23:12:17.820Z,-30.8272,-71.4612,45.55,4.3
2016-04-04T12:32:45.000Z,-31.2367,-71.77,24.36,5.3
2016-04-03T01:06:46.600Z,-29.6434,-72.8339,10,4.3
2016-04-02T15:13:31.170Z,-29.6778,-71.3214,35,4
2016-04-01T02:40:18.000Z,-30.64,-71.688,42.3,4.2
2016-03-29T22:02:40.050Z,-30.4111,-72.0408,12.52,4
2016-03-29T03:36:54.400Z,-30.6139,-71.6098,27.06,4
2016-03-27T00:27:54.950Z,-30.4191,-71.6968,29.7,4.3
2016-03-26T08:56:31.110Z,-30.7159,-71.5051,38.1,4.5
2016-03-26T04:45:41.420Z,-31.7452,-72.104,13.33,4.1
2016-03-25T08:03:19.960Z,-30.688,-71.5356,29.62,4.8
2016-03-24T22:14:37.940Z,-30.3936,-71.6946,28.06,3.8
2016-03-23T13:14:06.900Z,-30.3349,-71.7081,24.4,4.5
2016-03-23T00:38:00.450Z,-31.7694,-71.4177,42.73,4.6
2016-03-21T15:51:17.530Z,-30.5547,-72.0661,3.19,4.4
2016-03-20T23:23:10.370Z,-31.4506,-71.7766,29.28,4.5
2016-03-20T22:30:22.110Z,-31.7153,-71.3416,51.96,4.3
2016-03-20T20:01:55.320Z,-30.6272,-71.5653,35,4.3
2016-03-19T12:24:07.510Z,-30.6487,-71.6113,27.95,4.7
2016-03-16T13:41:34.150Z,-31.0149,-71.3309,24.68,4.6
2016-03-16T04:06:58.670Z,-31.2361,-71.7993,35.48,4.2
2016-03-16T03:59:42.900Z,-31.2338,-71.8383,25.48,4.4
2016-03-16T03:49:32.850Z,-31.241,-71.7314,25.41,5.3
2016-03-15T11:44:44.670Z,-30.1776,-71.9575,21.79,4.5
2016-03-15T04:41:20.990Z,-31.4589,-71.7462,40.51,4.3
2016-03-14T13:21:53.000Z,-30.722,-71.631,33.7,4.5
2016-03-14T10:26:19.580Z,-32.2454,-71.8153,27.64,4.6
2016-03-14T01:09:45.620Z,-32.6096,-71.6967,30.64,3.9
2016-03-12T16:05:15.180Z,-30.2495,-71.6502,36.83,5.1
2016-03-09T13:28:11.870Z,-30.4412,-71.3451,49.66,4.8
2016-03-09T09:40:47.840Z,-30.7239,-71.3877,41.42,4.2
2016-03-08T01:27:48.980Z,-31.781,-71.4149,43.72,4.1
2016-03-03T13:47:16.350Z,-30.0763,-71.4726,35,4.2
2016-03-03T02:29:30.390Z,-29.9579,-72.0334,15.2,4.3
2016-03-01T23:03:37.760Z,-31.795,-72.1835,19.86,4
2016-03-01T09:15:30.910Z,-30.6321,-71.7533,40.98,4
2016-02-29T17:17:01.660Z,-31.5464,-72.2444,10,4.2
2016-02-26T23:34:06.510Z,-30.8496,-72.7285,4.22,3.7
2016-02-25T18:46:51.430Z,-31.475,-71.7264,21.87,3.9
2016-02-25T11:49:13.140Z,-30.7743,-71.6978,30.25,4.3
2016-02-25T11:27:54.270Z,-30.7875,-71.493,37.16,4.8
2016-02-24T19:09:57.640Z,-29.9287,-71.8335,15.23,4.6
2016-02-24T17:02:04.630Z,-29.9603,-71.6703,24.02,4.6
2016-02-24T02:32:58.280Z,-31.1462,-71.5434,43.29,4
